;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
181;0.914853;11.744364;17;51;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;CTR;beta2;F7
182;0.964028;27.799612;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;F7
183;0.900245;10.024568;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;F7
184;0.91088;11.220766;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;F8
185;0.973642;37.939112;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;F8
186;0.932198;14.748738;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;F8
187;0.908905;10.977507;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;F8
188;0.952913;21.237158;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta1;F8
189;0.897973;9.801366;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;beta2;F8
190;0.955585;22.514803;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta3;F8
191;0.913563;11.569099;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;F8
192;0.923248;13.029023;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;delta;FC1
193;0.969504;32.791514;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;FC1
194;0.937639;16.03561;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FC1
195;0.906727;10.721253;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;FC1
196;0.959168;24.490847;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FC1
197;0.953135;21.337785;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;FC1
198;0.936416;15.727199;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;beta3;FC1
199;0.885815;8.757681;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;gamma;FC1
200;0.935678;15.546795;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;delta;FC2
201;0.95917;24.49172;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;FC2
202;0.935286;15.452575;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FC2
203;0.941787;17.178171;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;FC2
204;0.958358;24.014448;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FC2
205;0.9537;21.598259;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;FC2
206;0.974316;38.934582;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;FC2
207;0.904651;10.487761;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;FC2
208;0.933367;15.007658;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;delta;FC3
209;0.975134;40.216005;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;FC3
210;0.942776;17.475326;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;FC3
211;0.934971;15.377794;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;FC3
212;0.955566;22.505147;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FC3
213;0.941613;17.127176;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta2;FC3
214;0.957376;23.460821;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta3;FC3
